Title,Year,Date Watched,First Watch,Source,Finished,Watchers
Jurassic Park,1993,26/09/2025,No,Firestick,Yes,"Nik, Rob"
28 Years Later,2025,27/09/2025,Yes,Firestick,Yes,"Nik, Rob"
Nobody 2,2025,04/10/2025,Yes,Firestick,Yes,"Nik, Rob"
The Lost World: Jurassic Park,1997,10/10/2025,No,Firestick,Yes,"Nik, Rob"
Terrifier,2016,18/10/2025,Yes,Firestick,Yes,"Nik, Rob"
Good Boy,2025,01/11/2025,Yes,Firestick,Yes,"Nik, Rob"
The Conjuring: Last Rights,2025,08/11/2025,Yes,Firestick,Yes,"Nik, Rob"
The Running Man,2025,13/11/2025,Yes,Cinema,Yes,"Nik, Rob"
Terrifier 2,2022,22/11/2025,Yes,Firestick,Yes,"Nik, Rob"
The Family Plan,2023,29/11/2025,Yes,Firestick,Yes,"Nik, Rob"
Terrifier 3,2024,06/11/2025,Yes,Firestick,Yes,"Nik, Rob"
Merry Heistmas,2025,13/12/2025,Yes,Firestick,No,"Nik, Rob"
Fighting with My Family,2019,13/12/2025,No,Firestick,Yes,"Nik, Rob"
National Lampoon's Christmas Vacation,1989,20/12/2025,No,Firestick,Yes,"Nik, Rob"
Die Hard,1988,24/12/2025,No,Firestick,Yes,"Nik, Rob"
Die Hard 2,1990,25/12/2025,No,Firestick,Yes,"Nik, Rob"
Wake Up Dead Man,2026,02/01/2026,Yes,Firestick,Yes,"Nik, Rob"
Die Hard: With a Vengeance,1995,03/01/2026,No,Firestick,Yes,"Nik, Rob"
Black Phone,2021,10/01/2026,No,Firestick,Yes,"Nik, Rob"
Black Phone 2,2025,17/01/2026,Yes,Firestick,Yes,"Nik, Rob"
The Rip,2026,24/01/2026,Yes,Firestick,Yes,"Nik, Rob"
Anaconda,2025,31/01/2026,Yes,Firestick,Yes,"Nik, Rob"
Tron,1982,07/02/2026,No,Firestick,Yes,"Nik, Rob"
TRON: Legacy,2010,14/02/2026,No,Firestick,Yes,"Nik, Rob"
28 Years Later: The Bone Temple,2026,07/03/2026,Yes,Firestick,Yes,"Nik, Rob"
TRON: Ares,2025,14/03/2026,Yes,Firestick,Yes,"Nik, Rob"
The Hunt,2020,28/03/2026,No,Firestick,Yes,"Nik, Rob"
Dolly,2026,04/04/2026,Yes,Firestick,Yes,"Nik, Rob"
Jurassic Park III,2001,05/04/2026,Yes,Firestick,Yes,"Nik, Rob"
